1737879374.2483726 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x58
1737879374.2493691 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x2f
1737879374.2513692 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x3, 0x0, 0x14
1737879374.252361 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0xff, 0xc0, 0x31, 0x6c
1737879374.2533593 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737879374.2543547 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737879374.2579927 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x52
1737879374.2599924 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737879374.2609897 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737879374.2629855 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x4, 0x8a
1737879374.2639823 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.26498 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.2659771 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879374.2679725 CAN1, ID=0x1da, DLC=8, 0x1, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x75
1737879374.2699664 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737879374.271996 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737879374.2729568 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
1737879374.2739563 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.2749913 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879374.278228 CAN1, ID=0x1da, DLC=8, 0x1, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x7f
1737879374.2812195 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737879374.2822182 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737879374.2832146 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x5, 0x8b
1737879374.2842138 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0xfa
1737879374.2862067 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x35
1737879374.287204 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
1737879374.2882056 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.289198 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x0, 0xc
1737879374.2901957 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x58
1737879374.291198 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737879374.2921915 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737879374.2931876 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.2941866 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.2951837 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879374.2981744 CAN1, ID=0x1da, DLC=8, 0x1, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x52
1737879374.3001688 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
